circuit,Inf_Haberman,Inf_BloodTransf,Inf_GermanCredit,Inf_BreastCoimbra,Inf_Raisin,Inf_Banana,Inf_Phoneme,Inf_XOR_8D,Inf_Spiral_xlarge
unit,0.012962962962962963,0.15422779372491707,0.2661716803039192,0.32515428112617234,0.7242842246455029,0.24425520656634783,0.2751991435095012,0.33925344207272906,0.2621580627899254
SRx,0.11199444916771455,0.2471430937059124,0.2375851430112305,0.3674713424610392,0.7170516666064378,0.6523165768835755,0.4784854586435104,0.4640090653401326,0.3482828682109675
RY,0.02431083191631576,0.16273495419172193,0.2802471970066231,0.3754867741682019,0.731509515911296,0.31392259893470104,0.3745850940855225,0.46042061346587354,0.2609517361882136
HERx,0.10993052852044456,0.1512742749355098,0.2637877838487177,0.39955816561315977,0.7387060577232859,0.419770532810442,0.4769609137988197,0.5049959130430346,0.07754592453772169
RY_CX,-0.006937780841236818,0.1852378039702215,0.28323261460397625,0.39064826106546,0.7308328324890013,0.4738855955503636,0.4582343058709894,0.47202595580440954,0.28737557766528515
ZFM,0.0469428447278849,0.01852375896513506,0.19475192112770193,0.35762375742794905,0.6849857216918243,0.6453756532718807,0.21308896076616854,0.3948650445940484,0.4158419632014829
HD,0.046570854783907156,0.2102841380803031,0.24143495997234868,0.31394418115477446,0.7177139526831019,0.6988390164942793,0.4330854495586259,0.45753627800174296,0.3531294481680482
