circuit,Adult Income,Australian,Bank Marketing,BankNote Auth,Breast-w,Breast Cancer,CDC Diabetes,Chronic Kidney,Cirrhosis,Credit Approval,Credit Card,Diabetes Early,Diabetic Retinopathy,Digits_01,Digits_17,Digits_35,Digits_49,Digits_69,EEG Eye State,Glass,Heart Attack,Heart Disease,ILPD,Ionosphere,Iranian Churn,Iris_01,Iris_02,Iris_12,Kidney Risk,Magic Gamma,Mammographic Mass,Monks,Mushroom,Online Shoppers,Parkinsons,Phishing Websites,Pima Diabetes,Rice,Smoker Status,Sonar,Spambase,Spect Heart,Statlog Heart,Student Dropout,Syn_Blobs_2f_hard,Syn_Blobs_2f_med,Syn_Blobs_4f_hard,Syn_Blobs_6f_med,Syn_Blobs_8f_easy,Syn_Checker_2x2,Syn_Checker_3x3,Syn_Checker_4x4,Syn_Checker_noisy,Syn_Circles_loose,Syn_Circles_med,Syn_Circles_noisy,Syn_Clf_2inf_0red,Syn_Clf_2inf_12red,Syn_Clf_2inf_4red,Syn_Clf_2inf_8red,Syn_Corr_high,Syn_Corr_low,Syn_HighDim_10f,Syn_HighDim_20f,Syn_HighDim_30f,Syn_Imbal_15_85,Syn_Imbal_20_80,Syn_Imbal_30_70,Syn_Large_n600,Syn_Medium_n200,Syn_Moons_highnoise,Syn_Moons_large,Syn_Moons_lownoise,Syn_Moons_mednoise,Syn_MoonsRot_3D,Syn_MoonsRot_5D,Syn_MoonsRot_7D,Syn_MoonsRot_noisy,Syn_Multimodal_1c,Syn_Multimodal_2c,Syn_Multimodal_3c,Syn_Multimodal_4c,Syn_Noise_0pct,Syn_Noise_10pct,Syn_Noise_20pct,Syn_Noise_30pct,Syn_Nonlin_4D,Syn_Nonlin_6D,Syn_Nonlin_8D,Syn_Sparse_20f,Syn_Sparse_30f,Syn_Spiral_large,Syn_Spiral_loose,Syn_Spiral_med,Syn_Spiral_tight,Syn_XLarge_n1000,Syn_XOR_2D_high,Syn_XOR_2D_low,Syn_XOR_2D_med,Syn_XOR_4D,Syn_XOR_6D,Thyroid Cancer,TicTacToe,Vertebral Column,Wdbc,Wine_01,Wine_02,Wine_12
unit,0.10056531140956397,0.6520700573360765,0.0,0.9606177583164164,0.934380884401062,0.9110729474590961,0.057473316429242034,0.9791296066977596,0.4839984856425516,0.6381436968486388,-0.012549205932762082,0.8303637381924779,0.2286590313650774,0.9944869407037381,1.0,0.95089753302295,0.9623142347505921,0.9945355191256832,0.16527164173157086,0.16950927410414604,0.37364000230197475,0.4001120558846452,0.0,0.6958972590358603,0.45683952421118956,1.0,1.0,0.8829645187838207,0.9793864760632381,0.4038241720747255,0.6532005319297478,0.4236400557627423,0.8019515934125105,0.0,0.528848385487111,0.780724158599808,0.3891035359300721,0.8707558699568213,0.27222430305940576,0.5611256779344204,0.7603223050201979,0.4428579908935142,0.6930182634220955,0.5706759694452708,0.9409844094775087,1.0,0.9933986862732023,0.9867973725464045,1.0,0.8123987883760119,0.016039508972205078,0.15455256740030834,0.02094396456446454,0.5433164266404026,0.9223091145757607,0.44787727621002754,0.8739253042150508,0.8563033359036525,0.8884050816991006,0.88,0.883774350477592,0.3967766501312644,0.49022813167987955,0.6134379593058531,0.5026358967695849,0.7896111123613719,0.28800959139957716,0.6116072218672257,0.8332605778524892,0.6982995350852753,0.6424905783807504,0.7306140118514065,0.7422968284964874,0.7037136909830842,0.7488844175932362,0.7413394545821851,0.7405368890182614,0.6913920173261944,0.40897737651723975,0.6553813491279675,0.4748687894972255,0.547741944053593,0.5654523225035099,0.5444644434865976,0.4707625047821565,0.3973784611413838,0.7733817893849605,0.3902035967754502,0.41479091078561864,0.34087405375301305,0.28986915484270065,0.2792713444170322,0.30738012960385613,0.3211406006525913,0.30796702569366524,0.7447026884457006,0.8002085337440773,1.0,0.9933986862732023,0.9933986862732023,0.4496528804189328,0.7568957512921446,0.0,0.7620489263056353,0.9110729474590961,0.9542608111801419,1.0,0.9527983584263174
SRx,0.3972953208556114,0.6285619604336952,0.0,0.9767652103795217,0.9086300802447975,0.9060554721169307,0.058104914827892186,0.9733799253290553,0.47642386521077956,0.6242277076349053,0.12598762662197605,0.7823376613156187,0.19308052937279874,0.9944869407037381,0.9944899786223091,0.9179574386231112,0.9612886858941351,0.9944899786223091,0.33773979217123373,0.519055553438495,0.3417652538802181,0.37481907839269474,0.0,0.7574036738602382,0.5646869952088894,0.9803921568627452,0.9803921568627452,0.8621311854504873,0.9793864760632381,0.4719462589261862,0.6464250831760247,0.38325889422618986,0.9240435422241489,0.0551714899348714,0.5359634144270787,0.7804751521182768,0.3954602060909591,0.8604658690401511,0.38029561409095014,0.570317141340594,0.7389890474931403,0.2718778390916138,0.6017153925660695,0.6177155371494227,0.9603122655084384,0.9901960784313726,0.9933986862732023,0.9418079039899773,0.9702911467617351,0.8116047401838212,0.6044186708391577,0.01935644054850731,0.414430904581032,0.543875646385287,0.9738459485536818,0.5141110704199324,0.8736416469326859,0.8270621407265398,0.8161903516027497,0.8607737050029828,0.9206433226712147,0.33472994318218285,0.6233331394952351,0.7073982222700606,0.6280414769419542,0.8123624632772267,0.46641689729168984,0.572070117550218,0.827981664096832,0.6332301072594807,0.6015294396734973,0.6494815911651001,0.734551277806303,0.5841785666863529,0.9475431751157899,0.681229009405738,0.7483232969787652,0.6079813493711416,0.49342710746916824,0.5968138905136273,0.4236418823293298,0.5194474169596921,0.8699027615021239,0.7500270700804094,0.6321942130944268,0.5129581087609614,0.6963765591606856,0.3746278112208696,0.3483618029614357,0.31275871769355434,0.20946185568532674,0.203091178804492,0.22860552391156488,0.12863378367192532,0.14901304075754102,0.7453151847339523,0.8216072459397341,0.9410514219368347,0.9410460870029679,0.9076527356636324,0.5890814053235415,0.7162007914716387,0.19298135465597935,0.8179316156218851,0.9060554721169307,0.8801007215757416,0.9818593144691783,0.8699428928121442
RY,0.20692722978805989,0.645305281652765,0.0,0.970330171743662,0.9268533810845003,0.9105354150706099,0.06979444025480219,0.9791296066977596,0.48400423215962984,0.6460154222729734,0.02264438538657798,0.8159275947561415,0.21361759783897435,0.9944869407037381,1.0,0.9619999237091316,0.9623142347505921,1.0,0.27153142136596,0.255384898085371,0.4264051841088268,0.3849399498991497,0.0,0.7217692072733395,0.498381874856072,1.0,1.0,0.8835508326458116,0.9793864760632381,0.4278675906890819,0.6579170651090962,0.4192788593156489,0.8048444056065144,0.05815662311143183,0.4963345973265059,0.7780539824408076,0.3932295571394932,0.8741734400436729,0.41618707259847376,0.5443952973957354,0.7352091513161773,0.14010965264003566,0.677953049095934,0.5958739385774331,0.950508343939811,1.0,0.9933986862732023,0.9737203468232455,1.0,0.8255142001349673,0.2627952555452953,0.0705819620340256,0.19181427498436032,0.5776076205701833,0.980065352939869,0.5121801031595282,0.886940274347814,0.8563033359036525,0.9010354246681566,0.9005405947750789,0.9212475069054625,0.44737472647385984,0.5820211633657093,0.6788689237265468,0.5733681779369292,0.834282964535935,0.42334681517491063,0.6209548822550525,0.8395223488862839,0.6561584928550414,0.620567874592588,0.7158318893961902,0.7414996478572767,0.6943352572910738,0.8464020623683198,0.7413394545821851,0.7476105471539288,0.680107056223458,0.4010775034883136,0.6684008235553064,0.4824152076357769,0.5479855623493123,0.7842739670906204,0.6014816452186081,0.5869941619613064,0.4517054748035883,0.8070316409768062,0.4111143914430528,0.38331923656482497,0.3615405781369023,0.25051629589835644,0.301750475721919,0.33440827765921316,0.3479425541736377,0.3356782687348325,0.7477033953657665,0.8463698692869918,1.0,0.9867973725464045,0.9867973725464045,0.5860000456242133,0.7359551281268236,0.0,0.773451797572517,0.9105354150706099,0.9542608111801419,1.0,0.96755697794948
HERx,0.35140496148368183,0.6489261830147613,0.0,0.9900593748610206,0.9268533810845003,0.90636880439311,0.01625044026352193,0.9947215745311215,0.4227446584464502,0.6408396164805364,0.10347969192876176,0.8128577126303117,0.20074177622618575,0.9944869407037381,1.0,0.9508535482914128,0.9784714488978284,1.0,0.34961036986542,0.43965491460717115,0.36937821912968344,0.36606255881084326,0.0,0.7319913566259221,0.4649618157894391,1.0,1.0,0.8828943005498594,0.9894453005810382,0.4399176743926796,0.6380287392329386,0.37435352343726547,0.8753342805471177,-0.010120214130065168,0.5330152812060746,0.7947380148979221,0.39299953305970375,0.8777187908361833,0.37480734939349486,0.5847767104287357,0.7569687485073628,0.25583182704305635,0.601060094719947,0.6351487773399437,0.930734483161797,0.9800950683303625,0.9867973725464045,0.967244634826884,1.0,0.8410039621476882,0.07769331384041887,0.003453030843342003,0.046573256170668924,0.5759552653310287,0.9738459485536818,0.4940128023369683,0.8340000988725014,0.851596767078703,0.9012810356456277,0.9078554912249639,0.9269907900480989,0.3975901368151051,0.6231048044002603,0.7173226305246819,0.6179167346547302,0.8426122874089937,0.4197238871051246,0.5934274042827016,0.831931325231015,0.6622729926431886,0.5644727590250531,0.7327423021953657,0.695900372501276,0.6444534748046172,0.9050405261853581,0.766921335460101,0.8152912733852976,0.7119903045764641,0.42644295505044344,0.6294894911375609,0.4441338965252471,0.5082918513865141,0.8515612778582069,0.7127080192374299,0.6194680111982569,0.5116579898993739,0.8409327143217623,0.4035831524186773,0.40147568849588317,0.34544616848652643,0.273612996894788,0.019574268230765583,0.20881564103859662,0.14199758733623155,0.047759060347801446,0.7415359108464924,0.848158370582322,0.9800626854729355,0.9734613717461379,0.9867973725464045,0.5886152272697621,0.7557634055617019,0.2089947319217534,0.8018175851042931,0.90636880439311,0.9231689086733957,1.0,0.96755697794948
RY_CX,0.34756563970580007,0.645426301289833,0.0,0.9834698855101611,0.9085922086508512,0.8874649554506507,0.110889715438846,0.9738749938742045,0.41403893116013357,0.6407737514101471,0.10934552651228018,0.7966462698114034,0.19768998891322068,0.9944869407037381,1.0,0.9455107939661495,0.9724847993850112,1.0,0.3160573677199188,0.488085815273898,0.3884315783068623,0.39252367082292344,0.0,0.7267741947981077,0.5384784882089968,1.0,1.0,0.8639429895085566,0.9517310361238619,0.4425209235516185,0.6561305763616148,0.37510848813718517,0.8912725407595338,-0.010120214130065168,0.5181601618655155,0.7637742033569639,0.4296921046785602,0.8645782971677329,0.28820756059162267,0.5822928187594741,0.7504596178923454,0.10256661045848421,0.6767265794642903,0.6098883180456024,0.9409508677938069,1.0,0.9805655273828373,0.967244634826884,0.9702911467617351,0.7972024996108149,0.259982908868782,0.016447513229626638,0.15592881397607986,0.5818690647977864,0.9603843460229787,0.5068801986456707,0.8469723127990858,0.8076143508710754,0.8871965819579882,0.8936883179879973,0.9338510788520044,0.37668716415071213,0.5976182843460752,0.7021476136650623,0.5720876329466568,0.799490004217097,0.5151668266889283,0.5978042045593948,0.8222831993615936,0.6186354102372382,0.5971133215505596,0.705755395593791,0.7611912629574921,0.6416149880960497,0.9166865859000196,0.6703545438827408,0.766014347825463,0.6018624954357286,0.5324451309352499,0.6569356290265941,0.44902747839900936,0.537729107907563,0.8199278558303756,0.6794422700855977,0.6323255599414569,0.4453652809074815,0.8095374820329503,0.4242238651966746,0.41069469621691085,0.3089273880618348,0.2306154149927048,0.28149730474344054,0.33635148818580457,0.33560300636707624,0.3288306086241028,0.7447746872149449,0.8407669400789416,0.9933986862732023,0.980065352939869,0.960130705879738,0.5771512837239463,0.6990630832709214,0.16113859585308313,0.7868740671441182,0.8874649554506507,0.9083842425076885,0.9648090636666385,0.8996630436023588
ZFM,0.2166031625407282,0.5939753847377581,0.0,0.8862511881539179,0.9035003553301255,0.8071643838717568,0.0414803718260057,0.9786345381526105,0.43897274262448255,0.6112925155945964,0.08388624279608357,0.7052272543456201,0.17317985579468245,0.8958819014627325,0.9504872484259369,0.6524247470155371,0.9502656372907938,0.826464697633352,0.35911827311761574,0.4451833626099521,0.2924835202159422,0.09373978253988587,-0.015092946597063594,0.6509837978194188,0.49900696545087125,0.8603988599437465,0.9432332624089579,0.5806819415691046,0.9265506161552258,0.41636930462870625,0.5335652630061288,0.23094966327423125,0.9240396279164518,0.0551714899348714,0.5349320321059999,0.45613362768297927,0.25064881342235606,0.38754206558219906,0.3350709085165617,0.3836068248118338,0.7644949288226734,0.2815308676220694,0.13187282585451865,0.5806293034596032,0.5630527974509422,0.4618631426744951,0.5112956419906197,0.2891843148464836,0.9708596054321529,0.059353257981819056,0.7267010840156848,0.6301036667620495,0.5184589464180592,0.6270340755768821,0.960245628126417,0.44109446820870013,0.7090377666720795,0.5489832530600248,0.4091551504645656,0.6397931634533025,0.8709453630918782,0.2005403280631839,0.4950962488143796,0.48541717211294205,0.389546556429707,0.5165215920506845,0.3400576223763117,0.4227453511491361,0.801797790234739,0.5185818159753376,0.30174911558579115,0.7481703877299631,0.9803749229261651,0.5379577859538759,0.7486005462382009,0.49114383849358917,0.5421076379096752,0.21370633820273963,0.4534883317935898,0.4275775828488875,0.24039799085082078,0.2915475600718127,0.7700233474334869,0.5873180658168922,0.5605216476772886,0.4907960467307408,0.30171760937405523,0.0495023176411735,0.04168543648943568,0.004918808344852139,0.14131762745498697,0.32587210039260356,0.3820056308066917,0.3910914747387299,0.37551744023290073,0.7179591858061297,-0.06736272656487385,0.9410514219368347,0.03924270105588928,0.0002954509760941734,0.3827275897683036,0.666696481997208,0.12521632426694182,0.7411077168698429,0.8071643838717568,0.5039571328188966,0.6942705709969262,0.6126054046977668
HD,0.3884919453843086,0.6323430721304982,0.0,0.9801163461676418,0.9196448616783472,0.8454635283311168,0.140762039621909,0.9894669617075663,0.45387249741540253,0.6150134822231811,0.08090639407370996,0.8284073367805954,0.24054030244961724,1.0,0.9889769193260473,0.9456774608717241,0.956403614367928,0.9835154763703015,0.3000543531820584,0.44166453946125905,0.3497130335834753,0.3539303526918152,0.0,0.7648781995224588,0.4704811038537489,0.9803921568627452,0.9803921568627452,0.7830720913272996,0.9793864760632381,0.44671262159115704,0.6386622644463846,0.4298060762838696,0.9057796734086557,0.0,0.5166494617235524,0.7936852149269167,0.408179614282524,0.8706476198844086,0.3796367230710033,0.575050092249476,0.7543373059003824,0.4567311690661447,0.6182226815148925,0.6132735543511179,0.9306742926907615,1.0,0.9734640392130712,0.9477807740764369,0.9901960784313726,0.7911269869227678,0.5337766776974018,0.3110379402365904,0.36668367760452875,0.35366182690554565,0.8463889668601996,0.4496982066803883,0.8670163163874638,0.7880251287631105,0.8481031954963411,0.8810605649769511,0.9272473038649457,0.36862819749305314,0.6310166488924769,0.712634765121562,0.6082745872444395,0.7669182864604309,0.5327909534570819,0.5687259386472517,0.8150800337499646,0.6520466532049106,0.6951908427408485,0.964133768544805,0.9802435784798166,0.9037352678553822,0.9539006220097935,0.8240613365794521,0.8907390011363873,0.7099837288245648,0.4740517124178146,0.6213197087656207,0.4703692093674703,0.5222628431377337,0.8307190466226464,0.7053429378948595,0.6254826087819829,0.5143426642351631,0.8001974122982526,0.3948078485547783,0.367987035774332,0.31677132136355507,0.2078816359686014,0.3835178349081603,0.31214682366691354,0.386096663279063,0.3718785474969777,0.7403854480020718,0.8351588744886561,0.9933986862732023,0.967232194049504,0.9472948795224395,0.5220254458964518,0.7229885079968431,0.1767748310627839,0.7688775174828636,0.8454635283311168,0.9389800008794164,0.9249999999999999,0.9501767881182946
