circuit,Abalone,Airfoil,Appliances Energy,Auto MPG,Automobile,Beijing PM2.5,Bias Correction,Bike Sharing,California Housing,Communities Crime,Computer Hardware,Concrete,Diabetes,Electrical Grid,Energy Efficiency,Facebook Metrics,Forest Fires,Liver Disorders,Metro Interstate,Parkinson Telemonitoring,Power Plant,Real Estate,Servo,Solar Flare,Student Math,Superconductivity,Syn_Reg_10f_linear,Syn_Reg_1inf_3f,Syn_Reg_1inf_8f,Syn_Reg_2f_linear,Syn_Reg_2inf_0red,Syn_Reg_2inf_10red_noise,Syn_Reg_2inf_4red,Syn_Reg_2inf_8red,Syn_Reg_3inf_12red,Syn_Reg_5f_linear,Syn_Reg_corr_high,Syn_Reg_corr_highdim,Syn_Reg_corr_interact,Syn_Reg_corr_low,Syn_Reg_corr_quad,Syn_Reg_corr_sin,Syn_Reg_friedman1,Syn_Reg_friedman1_15f,Syn_Reg_friedman1_20f,Syn_Reg_friedman1_5f,Syn_Reg_friedman1_noise,Syn_Reg_friedman2,Syn_Reg_friedman2_noise,Syn_Reg_friedman3,Syn_Reg_friedman3_noise,Syn_Reg_hetero_10f,Syn_Reg_hetero_corr,Syn_Reg_hetero_high,Syn_Reg_hetero_highdim,Syn_Reg_hetero_low,Syn_Reg_hetero_small_n,Syn_Reg_highdim_10f,Syn_Reg_highdim_20f,Syn_Reg_highdim_30f,Syn_Reg_highdim_40f,Syn_Reg_interact_2f,Syn_Reg_interact_3f,Syn_Reg_interact_4f_lownoise,Syn_Reg_interact_5f,Syn_Reg_interact_clean,Syn_Reg_interact_highdim,Syn_Reg_interact_noise,Syn_Reg_medium_n200,Syn_Reg_mixed_interact_sin,Syn_Reg_mixed_quad_10f,Syn_Reg_mixed_sin_10f,Syn_Reg_multicol_high,Syn_Reg_multicol_low,Syn_Reg_outlier_high,Syn_Reg_outlier_low,Syn_Reg_quad_2f,Syn_Reg_quad_4f,Syn_Reg_quad_6f,Syn_Reg_quad_8f,Syn_Reg_quad_highdim,Syn_Reg_quad_lownoise,Syn_Reg_quad_noise,Syn_Reg_sin_1f,Syn_Reg_sin_2f,Syn_Reg_sin_3f_clean,Syn_Reg_sin_highdim,Syn_Reg_sin_highfreq,Syn_Reg_sin_noise,Syn_Reg_small_n50,Syn_Reg_sparse_10inf,Syn_Reg_sparse_1inf,Syn_Reg_sparse_2inf,Syn_Reg_sparse_5inf,Syn_Reg_tiny_n30,Thermography,Wine Quality Red
unit,0.4384885428844088,0.620183427010769,0.03643393372865337,0.8469507652768126,0.8072156576186935,0.06510334449596773,-0.002550796678279029,0.30324742412927036,0.4888590483760023,0.5177975349435849,0.6938421085474582,0.3535060916517096,0.4854138761725059,0.25940259796615833,0.8987153671807354,0.5552023793030851,-0.029219600497344216,0.16521733782129797,-0.010822609648408421,0.05933872107212305,0.9349057376516452,0.6227900841114274,0.7176659639425371,0.09848087191756849,0.21544650355314263,0.5533792904738155,0.1941819703706684,0.9872245863819318,0.42620818063940963,0.9769613729574814,0.9679225834550399,0.1327190802819298,0.5867399067116864,0.338759124967915,0.11758340615301995,0.7538921072707292,0.7952595403961897,0.4859925956593753,0.8895031960654899,0.7433063063836093,0.9105638209113042,0.9274045452678585,0.40080629043723875,0.23308301656731603,0.037478569052231535,0.7176150745505447,0.3740589158648695,0.9608686866279808,0.960837613097549,0.8287965725493319,0.3867013746465277,0.3368733021550094,0.46922149508609884,0.033720243637931725,0.587862369088859,0.634126863209827,0.5911899770169977,0.42522056106335454,0.14521690999843448,0.15021283727774667,0.04025711224709568,0.7004533806959078,0.4477505775939074,0.37442371572562577,0.3695012748068552,0.2927213003064341,0.2535592859827701,0.17309101951637476,0.9526763489688334,0.42254354354008566,0.17388622832770637,0.059042600281497104,0.33697549350651385,0.9514288880983969,0.036494815504905555,0.2305641553670709,0.5734875275666486,0.4911953817138876,0.3406924487336181,0.1997241263499332,0.15765534190057587,0.5922256961248994,0.24336436297724584,0.10156486292832279,0.15863365260381226,0.18884587781406015,-0.030229235101731478,0.19438131887503418,0.07826590582057043,0.849445021975154,0.14231612216488188,0.472707784333607,0.48974414732186,0.16899764629663264,0.8276312308493358,0.45565264299888947,0.19798730369873774
SRx,0.39205316457595957,0.7284813433489541,0.02719657555808948,0.7369178180478088,0.673156223859519,0.05855635018396336,0.062335056338515216,0.2392588483056006,0.5307869552672893,0.4321560120653618,0.49839221905157993,0.3904986452988745,0.3870211541363004,0.15881379485872874,0.8842288750487685,0.5237353384093909,-0.1334124485943604,0.1855466951239451,-0.019528464174345544,0.14035926357604242,0.9149174772690217,0.5675561864206421,0.3044424364652745,0.06885208030502825,0.17860970048931987,0.543040533788106,0.07293793238509301,0.6852657569115813,0.31081144518184783,0.7455409842352365,0.7431434926682391,0.02955424842701378,0.4334130635805118,0.2205171809726941,0.0030136551210701024,0.5881733429172854,0.5347648277094308,0.30506450453249306,0.6488102213081718,0.4984067107339542,0.6493650196377052,0.7299487653194886,0.24242564906541084,0.1843572131556901,-0.051119647150347114,0.512635335990574,0.22861819547661624,0.4002014079249734,0.4000055084595935,0.37413602801328166,0.09429026762071324,0.22850912851322558,0.3138078093448129,0.0012419304283348327,0.4617514694141243,0.47311770195923875,0.31681488309223904,0.3111332775031144,0.029695749527402504,0.01204992343603506,0.00663216692636918,0.5431307489148894,0.33138587098340055,0.25797907376449114,0.2709241350751462,0.1812254915874083,0.1675308591000949,0.003872837072767236,0.6318996831625553,0.31105129457653535,0.17622341680885423,0.016147033413409912,0.14387264219020077,0.5942292237020582,0.02969361435271493,-0.03153131916727873,0.6805782349012784,0.6463358347014544,0.35257845427535156,0.16808374366706783,0.21752144140154483,0.7667544119506888,0.22591870353555585,-0.11891581834533589,-0.1919029379922829,-0.10900998517498779,-0.11327544978069426,-0.21476913841421533,-0.18121273862005358,0.10214829763213111,0.008684266336895008,0.2600993274923059,0.36159044930044654,0.13977664732133202,0.26782352411739785,0.3514529584989148,0.15534250689443949
RY,0.4312231257472292,0.6783056284897923,0.05376464122735073,0.836221016368227,0.818709460109638,0.07463484174226542,0.035718998142121906,0.29607961257608667,0.513371533166813,0.5120874541435528,0.6950661145955982,0.36825928779048683,0.48474757975534905,0.25466243639854275,0.905556208485363,0.542654680607029,-0.04263194042493149,0.19803218202169617,-0.009707112426138309,0.0731242105616207,0.9324061168792416,0.6324558899949111,0.7231905567372549,0.10124322768557144,0.21918433295246378,0.563384184515636,0.17417630810342122,0.9651064517076008,0.4111616147880787,0.9450374980770094,0.9412494921552845,0.12476248161681325,0.5729616520877672,0.32657096672592784,0.10175389966158299,0.7461158031942942,0.7730053570206629,0.4575136983881822,0.8733268124046477,0.719634135365047,0.888469350396063,0.9120995126045219,0.38245220581691175,0.24315770937924353,0.030636302159530764,0.731337186027425,0.35197319323067083,0.9399430195552668,0.9399352699026572,0.7703135056302596,0.3691548726374602,0.32184564802090915,0.4516702741584005,0.06276982294171111,0.5752386949717035,0.6400427112958368,0.5552592689284243,0.41671139243827016,0.11493379185022874,0.12491140566084454,0.04032984096760365,0.8117991809994357,0.4542266390174892,0.38055878700021806,0.3789763660175083,0.35419952466440635,0.25032855155331385,0.16050011916996174,0.9051208011326893,0.42847563026511976,0.22900215942401045,0.06426957339642388,0.32127917527522226,0.9279610687143115,0.032158297067663676,0.201316812805958,0.8193472441999138,0.7040930422111099,0.4344270565463808,0.2523036867361153,0.21836755208779832,0.8156634186555006,0.3030818771982633,0.05082655582699813,0.07299839043348266,0.12596670338035468,-0.04211485012417978,0.11214448864266839,0.02295597739621828,0.8238683092658744,0.13776442761040286,0.45469761966685995,0.47038196862563514,0.1715403607728482,0.788250554745988,0.4572706434027111,0.20104990573271753
HERx,0.38172434201687916,0.7133133870612426,0.058205273083125064,0.8185730363947038,0.7897210333826674,0.07501321733232609,0.07068709490069296,0.27111031748067815,0.5489658713847918,0.5015833506202146,0.6070208004811516,0.3766995411080792,0.4414374711191724,0.20665780441553128,0.8979784887951278,0.5187898057697028,-0.08247785851354172,0.1925726797721344,-0.01720811938454736,0.13485106635369637,0.9310652188960632,0.6223792427586381,0.3038289649072959,0.08442239605689639,0.2046497312827464,0.5670956973854938,0.11335458938094274,0.6410920864629124,0.3150945692611344,0.6515946637364577,0.9073206459507261,0.07961343867060951,0.4287056087895545,0.25929758330244074,0.07076259671649716,0.6541812677252796,0.716327316068961,0.38780689350311387,0.8225555685589588,0.5405281328008705,0.833326062998867,0.8475411160125138,0.2931872181757166,0.21009164475457645,-0.005048520886465753,0.7146557420053546,0.26869425061496155,0.5759621605285213,0.5758768779834033,0.5075576789115498,0.20276817406153716,0.28280237544115,0.3452789299011036,0.040153387153636,0.4806998216566963,0.5094143240776373,0.495229683786717,0.33299014963527396,0.09512960744519894,0.07945493247201407,0.040262115018670906,0.6955036507506945,0.3438151219792389,0.26810237670954046,0.31103937554536365,0.2107035346473777,0.21392256193479078,0.07315034496842614,0.8268148299378986,0.3221895858268153,0.2382992277077973,0.04207857589350583,0.20059349365103263,0.8251022856817457,0.014899764570756665,0.06498381969261253,0.7895971896875911,0.723067618622966,0.42453532195258753,0.20322204989217454,0.25253630949761297,0.8300763490899906,0.24159736237179075,0.29097865227481656,0.14785872817511522,0.05143917219150403,-0.08310275791969575,0.028046140661904955,0.02589204978325273,0.5453711748500317,0.07723033592471995,0.3367909180912072,0.406234447304694,0.13962235033103298,0.4934786884266269,0.4495490631462064,0.2082660376709736
RY_CX,0.34855150794552464,0.6961228303564506,0.04090764790784185,0.7163545871291052,0.670956694856159,0.07070059238474106,0.08340972205494283,0.27743161844291925,0.5404179349256646,0.4685692353972752,0.5474051063363128,0.40333081131867327,0.4316556690806354,0.23032133578641822,0.8765277350329583,0.5221303563430325,-0.062068058568402217,0.21848647423939663,-0.017516983387894387,0.10006268464615027,0.9201777607935014,0.5764334695273178,0.49589450561649806,0.08427482980004004,0.1837446392330183,0.539810760539183,0.13344724531376653,0.9235569224520307,0.37512411068609447,0.8736143054884936,0.7648611192110804,0.10988637383378042,0.530997399992644,0.2981146525842682,0.06808101631163081,0.6676896579442667,0.6082853563596269,0.3362736047769099,0.693153014918734,0.6353928358264846,0.7119076168242321,0.7892031257250403,0.30065967885562633,0.24823559659602376,0.009946624985008238,0.6253272462968177,0.27668012379992374,0.8472155426363459,0.8471517269622296,0.6153543778298852,0.2888928138812306,0.28652707870734767,0.4191893030814835,0.038515778992284345,0.5486329832661506,0.5994016542636431,0.3566480663186608,0.3741838762472381,0.08277767830599259,0.07613399849703106,0.02884510786027128,0.6703726961058539,0.43126586765712444,0.35009364013391453,0.3447853238761159,0.3075014025062901,0.1975092459869381,0.11596772836792486,0.7118736876360163,0.40363670688603676,0.21620239671006816,0.05542071757640047,0.28734234796565983,0.8409633636752565,0.027881961070094146,0.13608199882014413,0.7604565136654408,0.6844628061681702,0.42535995482374167,0.22355225917011937,0.22106242578425597,0.801957390449167,0.2613905650118516,0.013993008847843824,0.01653278378325107,0.13318616648917606,-0.07267964527634281,0.12094776123665459,-0.056966826272192815,0.3727707830102592,0.07881331670953944,0.37789174389711283,0.4545347542954146,0.14897595682048315,0.5208208800043542,0.3819465916562177,0.20557325125372414
ZFM,0.355447580263244,0.4970719837736186,-0.01501936059672985,0.5675397257669998,0.3171483801341613,0.015104867886913157,0.017626893854744807,0.1491846278558325,0.5214398432289767,0.33724344351729724,0.3688761791754682,0.29089042697661704,0.06841495535667023,-0.016629515991128385,0.7655298013311066,0.5276291426329939,-0.1515089961907233,0.14252258327536949,-0.015251178017973488,0.11916378712807633,0.5289633199192204,0.4029024823256582,0.24498331052235708,0.03905883010292962,0.0604353377211135,0.5247442742763331,-0.02085338486602865,0.08631841305454176,-0.058532671382879396,0.44250134361908783,0.16511313651484297,-0.05484301514558321,-0.008933480180022083,-0.021058886068176224,-0.037572793648407744,0.07795574833883001,-0.02641000151245117,-0.06085851642451209,-0.01484123988772675,0.04575595494050955,0.02992758675760872,-0.019397484997535464,0.04175472638274665,-0.035039275844158634,-0.12734197447507922,-0.07475426956633517,0.03862529030495913,0.07261547173201055,0.07263488808528629,0.21256739725975826,-0.03274287716483119,0.08951803325841201,-0.023409617938398946,-0.03507216089755268,0.08809917879154953,0.057052093259679526,-0.06187772288092915,0.09877324976929791,-0.0652748440695009,-0.06899072097048982,-0.009842235771168495,0.11618450594619294,0.03364603385194095,0.008800403736952936,0.04392428632577868,0.023156929981627623,-0.005724698636174049,-0.08582068906465919,0.386902685684093,0.026147266187779072,0.22860431930175482,-0.07679140973722227,-0.00031601653898764387,-0.029021078076714318,-0.02873927140757737,-0.08920827171651828,0.46588374112929903,0.6110685031767648,0.3512982799189999,0.194636363389995,0.19144449321911775,0.5895968938105468,0.20100290722022807,0.9224228187769867,0.8392172359947837,0.9304805195652622,-0.0745344925929085,0.8586110052707184,0.29926137632861927,-0.12555396253374265,-0.06095938866083994,-0.01772263780413878,-0.0016663740435514847,-0.049163356731590745,0.15300905286712776,0.16172307569109493,0.15874911096566194
HD,0.3495746659334558,0.6849910936659854,0.07403715216526074,0.8126147544716509,0.7444239498904198,0.07230003153728533,0.02052334721556881,0.27384504988964126,0.531384773234271,0.52412445868242,0.4700217677825485,0.42663036245584385,0.4377128422804952,0.21083851529458753,0.8904899622361447,0.563877966780208,-0.15098736701360238,0.19962047136974428,-0.016177638304734843,0.12042545479252516,0.9161384246423822,0.5991735194103304,0.2308378196863192,0.06220527303879971,0.18833462977421697,0.5550674257960946,0.09421236376359328,0.8709965554263738,0.31458759584734824,0.750740576796424,0.8127436291212756,0.08602576214256268,0.5041326116629745,0.25689078085956746,0.01339486655872472,0.6840017449945268,0.6522573536504409,0.36412871279974524,0.7538426180387314,0.5604269067681539,0.7858980701043937,0.7679903312251325,0.31625108308341104,0.18986988394359075,-0.03531992928112815,0.6524601556169901,0.2934232458460077,0.5980798332868512,0.5979204500355944,0.5702153250796483,0.2631870778674927,0.3099040792341458,0.3281167104840623,0.04113629905927226,0.5175269715024532,0.5675671596761586,0.427765903533494,0.3553507473312707,0.038187296694619476,0.05359340817250365,0.0013597301757397595,0.5493200547008629,0.3655315302314221,0.32036335258578136,0.3316881319511034,0.2238892334084329,0.17385911916043983,0.08096393957178649,0.7289189092894972,0.33246991573292806,0.19422386659797541,0.013670707983215532,0.266367986409306,0.8051117571621358,0.007541556958323037,0.07785857555400548,0.6296326379596525,0.6712347166770808,0.314077497269349,0.16881200747965389,0.20241552309448052,0.7438415717101711,0.2137948692628081,0.30750223089451784,0.13936471067327652,0.3512551856968349,-0.10928089091845809,0.24778418213989747,0.009766440567864723,0.4507749680722632,0.057619168040190884,0.3496622668485503,0.39785270323388056,0.15608042320438717,0.5971912722055538,0.40703887099188546,0.18430177082644772
