circuit,Adult Income,Australian,Bank Marketing,BankNote Auth,Breast-w,Breast Cancer,CDC Diabetes,Chronic Kidney,Cirrhosis,Credit Approval,Credit Card,Diabetes Early,Diabetic Retinopathy,Digits_01,Digits_17,Digits_35,Digits_49,Digits_69,EEG Eye State,Glass,Heart Attack,Heart Disease,ILPD,Ionosphere,Iranian Churn,Iris_01,Iris_02,Iris_12,Kidney Risk,Magic Gamma,Mammographic Mass,Monks,Mushroom,Online Shoppers,Parkinsons,Phishing Websites,Pima Diabetes,Rice,Smoker Status,Sonar,Spambase,Spect Heart,Statlog Heart,Student Dropout,Syn_Blobs_2f_hard,Syn_Blobs_2f_med,Syn_Blobs_4f_hard,Syn_Blobs_6f_med,Syn_Blobs_8f_easy,Syn_Checker_2x2,Syn_Checker_3x3,Syn_Checker_4x4,Syn_Checker_noisy,Syn_Circles_loose,Syn_Circles_med,Syn_Circles_noisy,Syn_Clf_2inf_0red,Syn_Clf_2inf_12red,Syn_Clf_2inf_4red,Syn_Clf_2inf_8red,Syn_Corr_high,Syn_Corr_low,Syn_HighDim_10f,Syn_HighDim_20f,Syn_HighDim_30f,Syn_Imbal_15_85,Syn_Imbal_20_80,Syn_Imbal_30_70,Syn_Large_n600,Syn_Medium_n200,Syn_Moons_highnoise,Syn_Moons_large,Syn_Moons_lownoise,Syn_Moons_mednoise,Syn_MoonsRot_3D,Syn_MoonsRot_5D,Syn_MoonsRot_7D,Syn_MoonsRot_noisy,Syn_Multimodal_1c,Syn_Multimodal_2c,Syn_Multimodal_3c,Syn_Multimodal_4c,Syn_Noise_0pct,Syn_Noise_10pct,Syn_Noise_20pct,Syn_Noise_30pct,Syn_Nonlin_4D,Syn_Nonlin_6D,Syn_Nonlin_8D,Syn_Sparse_20f,Syn_Sparse_30f,Syn_Spiral_large,Syn_Spiral_loose,Syn_Spiral_med,Syn_Spiral_tight,Syn_XLarge_n1000,Syn_XOR_2D_high,Syn_XOR_2D_low,Syn_XOR_2D_med,Syn_XOR_4D,Syn_XOR_6D,Thyroid Cancer,TicTacToe,Vertebral Column,Wdbc,Wine_01,Wine_02,Wine_12
unit,0.05983988580549498,0.6092305119094298,0.0,0.9672270995150979,0.9268740465423585,0.9219113264808129,0.012810847610372433,0.9929638906813723,0.4466940386461558,0.6139113676059518,0.06308078786261008,0.8026774201872544,0.23491999695489532,0.9933986862732023,1.0,0.9738459485536818,0.967244634826884,0.9933986862732023,0.15572782406582542,0.16950927410414604,0.37364000230197475,0.4001120558846452,0.0,0.6029089801370199,0.24865492796505428,1.0,1.0,0.8829645187838207,0.9793864760632381,0.390025175337083,0.687112968798389,0.38946661298563373,0.7693558718284015,0.0,0.528848385487111,0.7251840458611062,0.4156823745303934,0.8716703478958087,0.27733402240682375,0.5611256779344204,0.7242361450348934,0.4428579908935142,0.6930182634220955,0.558046395110832,0.9409844094775087,1.0,0.9933986862732023,0.9867973725464045,1.0,0.8123987883760119,0.016039508972205078,0.2067869764712428,0.02094396456446454,0.5433164266404026,0.9223091145757607,0.44787727621002754,0.8739253042150508,0.8475593448025341,0.8884050816991006,0.88,0.883774350477592,0.3967766501312644,0.5066019066223609,0.4924170856699975,0.4674075015252302,0.8628153019126593,0.28800959139957716,0.6116072218672257,0.8282590332622425,0.6982995350852753,0.6424905783807504,0.6973042750645231,0.7422968284964874,0.7037136909830842,0.7488844175932362,0.7413394545821851,0.7405368890182614,0.6913920173261944,0.40897737651723975,0.6553813491279675,0.4748687894972255,0.5406496586257422,0.5654523225035099,0.5444644434865976,0.4707625047821565,0.3973784611413838,0.7733817893849605,0.3902035967754502,0.41479091078561864,0.21877640882356797,0.23548588259062805,0.30093394099436,0.30738012960385613,0.3211406006525913,0.30796702569366524,0.761896453827292,0.8002085337440773,1.0,0.9933986862732023,0.9933986862732023,0.4496528804189328,0.7272193412911448,0.06634576628754628,0.7620489263056353,0.9010714709199075,0.9542608111801419,1.0,0.9527983584263174
SRx,0.15983427709688963,0.5593669244559426,0.0,0.9670937387051363,0.8976474473997964,0.8719316486586216,0.17210788413138775,0.9581346257307076,0.5053969858775164,0.5943108535182431,0.3459476478388362,0.7599615568184536,0.18676289849861175,0.986922974276841,0.9866666666666667,0.9153252842351148,0.9533933513393354,1.0,0.32673648851181897,0.519055553438495,0.3417652538802181,0.37481907839269474,0.0,0.7145504048753711,0.5270464064992378,0.9803921568627452,0.9803921568627452,0.8621311854504873,0.9793864760632381,0.4194181017503584,0.6707773278709906,0.4004379137508669,0.8715860232501614,0.0,0.5359634144270787,0.7864371577740981,0.4650266688008717,0.8232812885615459,0.39664520190332203,0.570317141340594,0.7032080334748286,0.2718778390916138,0.6017153925660695,0.5289509570096148,0.9603122655084384,0.9901960784313726,0.9933986862732023,0.9418079039899773,0.9702911467617351,0.8116047401838212,0.6044186708391577,0.11440409860521213,0.414430904581032,0.543875646385287,0.9738459485536818,0.5141110704199324,0.8736416469326859,0.8217220882868898,0.8161903516027497,0.8607737050029828,0.9206433226712147,0.33472994318218285,0.5843362479707177,0.6123963991166212,0.6045750226467258,0.7718678215649334,0.46641689729168984,0.572070117550218,0.8006293273639566,0.6332301072594807,0.6015294396734973,0.6484945377274084,0.734551277806303,0.5841785666863529,0.9475431751157899,0.681229009405738,0.7483232969787652,0.6079813493711416,0.49342710746916824,0.5968138905136273,0.4236418823293298,0.5165866685873843,0.8699027615021239,0.7500270700804094,0.6321942130944268,0.5129581087609614,0.6963765591606856,0.3746278112208696,0.3483618029614357,0.27467415028645414,0.16014411255456185,0.21459806187741734,0.22860552391156488,0.12863378367192532,0.14901304075754102,0.7426510211806584,0.8216072459397341,0.9410514219368347,0.9410460870029679,0.9076527356636324,0.5890814053235415,0.6560822041570912,0.08401391403401637,0.8179316156218851,0.8731776596573638,0.8801007215757416,0.9818593144691783,0.8699428928121442
RY,0.041626036070297516,0.6079879642605835,0.0,0.9609985757657719,0.9203884721882559,0.9005072545696416,0.1337472000145982,0.9930344733290619,0.48177793490324544,0.5933565809908345,0.17346055320057285,0.7895785501187597,0.2124819594489248,0.9933986862732023,1.0,0.9737203468232455,0.967244634826884,0.9933986862732023,0.1485273014776586,0.255384898085371,0.4264051841088268,0.3849399498991497,0.0,0.5951276044027205,0.4438988731725438,1.0,1.0,0.8835508326458116,0.9793864760632381,0.41647878631483426,0.6825299434587829,0.397363587639966,0.8035731913433416,0.0,0.4963345973265059,0.7458738821408796,0.4281736022490876,0.8512154497753465,0.3947046127795077,0.5443952973957354,0.6956339839986708,0.14010965264003566,0.677953049095934,0.5352816752098367,0.950508343939811,1.0,0.9933986862732023,0.9737203468232455,1.0,0.8255142001349673,0.2627952555452953,0.16556043898249304,0.19181427498436032,0.5776076205701833,0.980065352939869,0.5121801031595282,0.886940274347814,0.8471108064847294,0.9010354246681566,0.9005405947750789,0.9212475069054625,0.44737472647385984,0.5830622365202497,0.5530291586623868,0.5276186555832308,0.8336964659678552,0.42334681517491063,0.6209548822550525,0.8149605334499359,0.6561584928550414,0.620567874592588,0.7057517202704459,0.7414996478572767,0.6943352572910738,0.8464020623683198,0.7413394545821851,0.7476105471539288,0.680107056223458,0.4010775034883136,0.6684008235553064,0.4824152076357769,0.5522195096428334,0.7842739670906204,0.6014816452186081,0.5869941619613064,0.4517054748035883,0.8070316409768062,0.4111143914430528,0.38331923656482497,0.23057668620682167,0.23021421204104506,0.3119305309328563,0.33440827765921316,0.3479425541736377,0.3356782687348325,0.7495496078002866,0.8463698692869918,1.0,0.9867973725464045,0.9867973725464045,0.5860000456242133,0.7514952335070629,0.01061696337719296,0.773451797572517,0.9293975136368574,0.9542608111801419,1.0,0.96755697794948
HERx,0.07522569352510154,0.607397565867668,0.0,0.973747768150187,0.9281691031956832,0.907647034629405,0.12495528507176623,0.9929638906813723,0.48057779481931623,0.6002984220705443,0.26277562554120376,0.7594462077395708,0.1883236644881389,0.9933986862732023,1.0,0.9673628999292418,0.980065352939869,0.9867973725464045,0.2559806678806377,0.43965491460717115,0.36937821912968344,0.36606255881084326,0.0,0.6399552459999945,0.4855138226509457,1.0,1.0,0.8828943005498594,0.9894453005810382,0.3765279332628009,0.6916039566501033,0.37533252036898634,0.8579974400130727,0.0,0.5330152812060746,0.7337362108481011,0.44330212756968246,0.8640415289675164,0.42005204303445026,0.5847767104287357,0.7253267307726916,0.25583182704305635,0.601060094719947,0.5022798882222775,0.930734483161797,0.9800950683303625,0.9867973725464045,0.967244634826884,1.0,0.8410039621476882,0.07769331384041887,0.059153127089716824,0.046573256170668924,0.5759552653310287,0.9738459485536818,0.4940128023369683,0.8340000988725014,0.8413688084900134,0.9012810356456277,0.9078554912249639,0.9269907900480989,0.3975901368151051,0.5788314552044037,0.6493581926022014,0.5549659313772617,0.83330908102656,0.4197238871051246,0.5934274042827016,0.808374953007391,0.6622729926431886,0.5644727590250531,0.693974690624469,0.695900372501276,0.6444534748046172,0.9050405261853581,0.766921335460101,0.8152912733852976,0.7119903045764641,0.42644295505044344,0.6294894911375609,0.4441338965252471,0.5420727769968684,0.8515612778582069,0.7127080192374299,0.6194680111982569,0.5116579898993739,0.8409327143217623,0.4035831524186773,0.40147568849588317,0.2353253126196191,0.1966090251189182,-0.0458992362394668,0.20881564103859662,0.14199758733623155,0.047759060347801446,0.7364367351796776,0.848158370582322,0.9800626854729355,0.9734613717461379,0.9867973725464045,0.5886152272697621,0.745476667037077,0.0040582158827857,0.8018175851042931,0.8862782506237536,0.9231689086733957,1.0,0.96755697794948
RY_CX,0.10701317095108868,0.5932104206959575,0.0,0.9801179227063926,0.890489559009886,0.9007403983824528,0.05983988580549498,0.9790328373394962,0.4505766247966199,0.592948620278269,0.23721587734903435,0.7736678481930852,0.2300183299592109,0.9933986862732023,1.0,0.9467893701456044,0.9669883272167099,0.9933986862732023,0.25907288705784826,0.488085815273898,0.3884315783068623,0.39252367082292344,0.0,0.6385630779176629,0.5260395929948313,1.0,1.0,0.8639429895085566,0.9517310361238619,0.42304178259941133,0.6825199367594795,0.375374379160815,0.8651190023345817,0.0,0.5181601618655155,0.7253703175142041,0.46694278799692895,0.8504775615489111,0.2297135215609389,0.5822928187594741,0.7105480668875087,0.10256661045848421,0.6767265794642903,0.48514907817808456,0.9409508677938069,1.0,0.9805655273828373,0.967244634826884,0.9702911467617351,0.7972024996108149,0.259982908868782,0.0855927662765708,0.15592881397607986,0.5818690647977864,0.9603843460229787,0.5068801986456707,0.8469723127990858,0.8368184294441053,0.8871965819579882,0.8936883179879973,0.9338510788520044,0.37668716415071213,0.5552331235177482,0.654527953671412,0.5677864491838766,0.8009267960987948,0.5151668266889283,0.5978042045593948,0.8146842640142875,0.6186354102372382,0.5971133215505596,0.6856761662654273,0.7611912629574921,0.6416149880960497,0.9166865859000196,0.6703545438827408,0.766014347825463,0.6018624954357286,0.5324451309352499,0.6569356290265941,0.44902747839900936,0.5485029268138102,0.8199278558303756,0.6794422700855977,0.6323255599414569,0.4453652809074815,0.8095374820329503,0.4242238651966746,0.41069469621691085,0.2703222668505737,0.22904075429721735,0.2377967717676596,0.33635148818580457,0.33560300636707624,0.3288306086241028,0.7430567211750092,0.8407669400789416,0.9933986862732023,0.980065352939869,0.960130705879738,0.5771512837239463,0.7018762291352205,-0.007116997196759442,0.7868740671441182,0.8669243215676558,0.9083842425076885,0.9648090636666385,0.8996630436023588
ZFM,0.12082502481602551,0.4419079924167304,0.0,0.8064722213023546,0.862317118454499,0.7785127379774565,0.05802588531856595,0.9929638906813723,0.4944563274453169,0.557422830262846,0.07301415020555764,0.6322585934678927,0.19723195973942512,0.8939419650472381,0.9219239299613257,0.6148356964422941,0.92722862040926,0.8280692355301656,0.24531076547105832,0.4451833626099521,0.2924835202159422,0.09373978253988587,0.0,0.5764380603306386,0.49139012980434504,0.8603988599437465,0.9432332624089579,0.5806819415691046,0.9265506161552258,0.3561654546173392,0.4815398810040777,0.11353555303671543,0.9288010363823793,0.0797489513961415,0.5349320321059999,0.38275549131686254,0.32542123901867054,0.4727937328256237,0.327951204560996,0.3836068248118338,0.7236899402943,0.2815308676220694,0.13187282585451865,0.47633067218274366,0.5630527974509422,0.4618631426744951,0.5112956419906197,0.2891843148464836,0.9708596054321529,0.059353257981819056,0.7267010840156848,0.5350244406460193,0.5184589464180592,0.6270340755768821,0.960245628126417,0.44109446820870013,0.7090377666720795,0.5395262343805174,0.4091551504645656,0.6397931634533025,0.8709453630918782,0.2005403280631839,0.46872657853837424,0.3423040637451977,0.32181293723685545,0.38454903262921575,0.3400576223763117,0.4227453511491361,0.7757090431147499,0.5185818159753376,0.30174911558579115,0.7816133490611971,0.9803749229261651,0.5379577859538759,0.7486005462382009,0.49114383849358917,0.5421076379096752,0.21370633820273963,0.4534883317935898,0.4275775828488875,0.24039799085082078,0.24122313436624157,0.7700233474334869,0.5873180658168922,0.5605216476772886,0.4907960467307408,0.30171760937405523,0.0495023176411735,0.04168543648943568,0.04646052900007316,0.018638627484584294,0.29107473832420977,0.3820056308066917,0.3910914747387299,0.37551744023290073,0.7108921756420684,-0.06736272656487385,0.9410514219368347,0.03924270105588928,0.0002954509760941734,0.3827275897683036,0.6295507906910967,0.1154381864405376,0.7411077168698429,0.7947346175627338,0.5039571328188966,0.6942705709969262,0.6126054046977668
HD,0.12162986703847863,0.6073850413643727,0.0,0.9670937387051363,0.9286503829415512,0.8791439676765297,0.1488517603517736,0.9930344733290619,0.5226719476217482,0.5868984878165495,0.3061565136595871,0.8177492789645132,0.216519567111777,0.9933986862732023,1.0,0.9472922120555061,0.9734613717461378,0.9668600580193402,0.31452895642911366,0.44166453946125905,0.3497130335834753,0.3539303526918152,0.0,0.6997760682217907,0.39118691476862305,0.9803921568627452,0.9803921568627452,0.7830720913272996,0.9793864760632381,0.4277512288398148,0.6788504627463259,0.40678825308131183,0.8966873924368773,0.0797489513961415,0.5166494617235524,0.719406326973338,0.43880169032721444,0.8584215502884937,0.34343126678395225,0.575050092249476,0.6862386970343456,0.4567311690661447,0.6182226815148925,0.49536557115812957,0.9306742926907615,1.0,0.9734640392130712,0.9477807740764369,0.9901960784313726,0.7911269869227678,0.5337766776974018,0.2008508948381845,0.36668367760452875,0.35366182690554565,0.8463889668601996,0.4496982066803883,0.8670163163874638,0.807245300213717,0.8481031954963411,0.8810605649769511,0.9272473038649457,0.36862819749305314,0.6038400062856198,0.6400975970264698,0.5819492951538584,0.739607546478242,0.5327909534570819,0.5687259386472517,0.8146296225811515,0.6520466532049106,0.6951908427408485,0.9735896409435076,0.9802435784798166,0.9037352678553822,0.9539006220097935,0.8240613365794521,0.8907390011363873,0.7099837288245648,0.4740517124178146,0.6213197087656207,0.4703692093674703,0.5467440232077361,0.8307190466226464,0.7053429378948595,0.6254826087819829,0.5143426642351631,0.8001974122982526,0.3948078485547783,0.367987035774332,0.22943763516151394,0.16858009537775534,0.36249160018086485,0.31214682366691354,0.386096663279063,0.3718785474969777,0.7248391739270642,0.8351588744886561,0.9933986862732023,0.967232194049504,0.9472948795224395,0.5220254458964518,0.6561993044444602,-0.020927389187458706,0.7688775174828636,0.8075136728715114,0.9389800008794164,0.9249999999999999,0.9501767881182946
