circuit,Inf_Reg_Stock,Inf_Reg_CpuSmall,Inf_Reg_Housing,Inf_Reg_quad_3f,Inf_Reg_quad_6f,Inf_Reg_quad_8f,Inf_Reg_sin_2f,Inf_Reg_sin_3f,Inf_Reg_friedman2,Inf_Reg_friedman3
unit,0.9260892733812991,0.6322632567492802,0.694646145392754,0.5745118756217732,0.26878848517593296,0.22503696552963867,0.07560293289074053,0.11181999124837771,0.9624574060037491,0.8155743939987256
SRx,0.9371778955647873,0.7804582371668092,0.6149074037250736,0.6562644802190095,0.39562817152270985,0.29405917818440536,-0.19243198130338093,-0.1934339170865865,0.3745816949255576,0.2660085639833823
RY,0.9434772840557666,0.7295673338962442,0.7073132303586372,0.7853474533949688,0.36719874037544714,0.31209038125088123,0.024066494449788662,0.06606776355553519,0.9473772310511461,0.7537766792451587
HERx,0.9223181072618433,0.7970848019659392,0.6796258532789242,0.7635440360180755,0.40340060935555755,0.33422429437475604,0.15402134610705417,0.05641322901937673,0.5601518336236889,0.4713330225326738
RY_CX,0.9371654305185845,0.7607949153556041,0.6281579787533264,0.7446929807032401,0.40947649909454586,0.3015554722922543,-0.05904478703197694,-0.01689515903654304,0.8181049238690136,0.49306832102220394
ZFM,0.8409950054988254,0.652773367000172,0.4032013539625899,0.3994407433522473,0.32353160235490813,0.27087012565737356,0.8542990277994468,0.8470975000398328,0.070551852977992,0.06326511589072603
HD,0.9585688762645562,0.7692765154770123,0.6795195188909489,0.677503371080651,0.3691047707836664,0.2970822222706542,0.0738102345727002,0.13355231263197684,0.6137850966362802,0.5465591370365189
